Dummy Policy No,ASSURED_AGE,NOMINEE_RELATION,OCCUPATION,POLICY SUMASSURED,Premium,PREMIUMPAYMENTMODE,Annual Income,HOLDERMARITALSTATUS,INDIV_REQUIREMENTFLAG,Policy Term,Policy Payment Term,CORRESPONDENCECITY,CORRESPONDENCESTATE,CORRESPONDENCEPOSTCODE,Product Type,CHANNEL,Bank code,POLICYRISKCOMMENCEMENTDATE,Date of Death,INTIMATIONDATE,STATUS,SUB_STATUS,Fraud Category
298,53,Wife,Service,"  500,000 ","  50,000 ",Yearly,"  912,000 ",Married,Medical,12,10,KHAMMAM,Telangana,507135,ULIP,Bancassurance,1,29-12-2022,-,-,Cancellation,Other Reason,Misrepresentation
299,51,Wife,Service,"  500,000 ","  50,000 ",Yearly,"  600,000 ",Married,Medical,12,10,Dhanbad,Jharkhand,828135,ULIP,Bancassurance,1,21-11-2022,-,-,Cancellation,Other Reason,Misrepresentation
300,52,Wife,Service,"  300,000 ","  30,000 ",Yearly,"  720,000 ",Married,Non Medical,12,10,DIBRUGARH,Assam,786602,ULIP,Bancassurance,1,15-11-2022,-,-,Cancellation,Other Reason,Misrepresentation
301,54,Wife,Service,"  300,000 ","  30,000 ",Yearly,"  540,000 ",Married,Non Medical,12,10,NAGAON,Assam,782003,ULIP,Bancassurance,1,11-11-2022,-,-,Cancellation,Other Reason,Misrepresentation
302,54,Wife,Service,"  500,000 ","  50,000 ",Yearly,"  480,000 ",Married,Non Medical,12,10,KEONJHAR,Odisha,758019,ULIP,Retail Agency,,17-11-2022,-,-,Cancellation,Other Reason,Misrepresentation
303,40,Husband,Housewife,"  300,000 ","  30,000 ",Yearly,"  480,000 ",Married,Non Medical,12,10,KHAMMAM,Telangana,507203,ULIP,Bancassurance,1,25-11-2022,-,-,Cancellation,Other Reason,Misrepresentation
304,52,Son,Service,"  400,000 ","  40,000 ",Yearly,"  540,000 ",Married,Non Medical,12,10,KOPPAL,Karnataka,583227,ULIP,Bancassurance,1,21-11-2022,-,-,Cancellation,Other Reason,Misrepresentation
305,54,Wife,Service,"  1,000,000 ","  100,000 ",Yearly,"  540,000 ",Married,Non Medical,12,10,JHABUA,Madhya Pradesh,457661,ULIP,Bancassurance,1,28-11-2022,-,-,Cancellation,Other Reason,Misrepresentation
306,36,Wife,Service,"  300,000 ","  30,000 ",Yearly,"  840,000 ",Married,Medical,12,10,BOKARO,Jharkhand,829116,ULIP,Bancassurance,1,29-11-2022,-,-,Cancellation,Other Reason,Misrepresentation
307,45,Wife,Service,"  300,000 ","  30,000 ",Yearly,"  580,000 ",Married,Non Medical,15,10,Gopalganj,Bihar,841437,ULIP,Retail Agency,,29-11-2022,-,-,Cancellation,Other Reason,Misrepresentation
308,42,Wife,Service,"  400,000 ","  40,000 ",Yearly,"  600,000 ",Married,Medical,12,10,BAREILLY,Uttar Pradesh,243502,ULIP,Bancassurance,1,28-11-2022,-,-,Cancellation,Other Reason,Misrepresentation
309,54,Wife,Service,"  300,000 ","  30,000 ",Yearly,"  360,000 ",Married,Non Medical,12,10,GODDA,Jharkhand,814155,ULIP,Bancassurance,1,28-11-2022,-,-,Cancellation,Other Reason,Misrepresentation
310,54,Husband,Housewife,"  500,000 ","  50,000 ",Yearly,"  250,000 ",Married,Non Medical,12,10,DURG,Chhattisgarh,490001,ULIP,Retail Agency,,28-11-2022,-,-,Cancellation,Other Reason,Misrepresentation
311,50,Wife,Business,"  400,000 ","  40,000 ",Yearly,"  600,000 ",Married,Non Medical,15,10,KURNOOL,Andhra Pradesh,518395,ULIP,Retail Agency,,28-11-2022,-,-,Cancellation,Other Reason,Misrepresentation
312,53,Son,Service,"  500,000 ","  50,000 ",Yearly,"  720,000 ",Married,Non Medical,12,10,HOSHANGABAD,Madhya Pradesh,461116,ULIP,Bancassurance,1,29-11-2022,-,-,Cancellation,Other Reason,Misrepresentation
313,55,Spouse,Self-Employed,"  1,000,000 ","  100,000 ",Yearly,"  700,000 ",Married,Medical,12,10,KHAMMAM,Telangana,507001,ULIP,Bancassurance,1,05-12-2022,-,-,Cancellation,Other Reason,Misrepresentation
314,52,Wife,Service,"  499,000 ","  49,900 ",Yearly,"  780,000 ",Married,Non Medical,12,10,NIZAMABAD,Telangana,503186,ULIP,Bancassurance,1,01-12-2022,-,-,Cancellation,Other Reason,Misrepresentation
315,45,Husband,Service,"  500,000 ","  50,000 ",Yearly,"  900,000 ",Married,Non Medical,12,10,EAST GODAVARI,Andhra Pradesh,533101,ULIP,Bancassurance,1,02-12-2022,-,-,Cancellation,Other Reason,Misrepresentation
316,52,Wife,Service,"  1,000,000 ","  100,000 ",Yearly,"  660,000 ",Married,Non Medical,12,10,DARJEELING,West Bengal,734203,ULIP,Bancassurance,1,02-12-2022,-,-,Cancellation,Other Reason,Misrepresentation
317,49,Son,Business,"  300,000 ","  30,000 ",Yearly,"  420,000 ",Married,Non Medical,12,10,GUNTUR,Andhra Pradesh,522310,ULIP,Bancassurance,1,08-12-2022,-,-,Cancellation,Other Reason,Misrepresentation
318,52,Wife,Service,"  500,000 ","  50,000 ",Yearly,"  600,000 ",Married,Non Medical,12,10,EAST SINGHBHUM,Jharkhand,832107,ULIP,Bancassurance,1,12-12-2022,-,-,Cancellation,Other Reason,Misrepresentation
319,54,Son,Service,"  330,000 ","  33,000 ",Yearly,"  780,000 ",Married,Non Medical,15,10,VIZIANAGARAM,Andhra Pradesh,535005,ULIP,Bancassurance,1,12-12-2022,-,-,Cancellation,Other Reason,Misrepresentation
320,55,Wife,Service,"  800,000 ","  80,000 ",Yearly,"  540,000 ",Married,Medical,12,10,KHAMMAM,Telangana,507210,ULIP,Bancassurance,1,19-12-2022,-,-,Cancellation,Other Reason,Misrepresentation
321,51,Spouse,Service,"  500,000 ","  50,000 ",Yearly,"  600,000 ",Married,Non Medical,12,10,KHAMMAM,Telangana,507003,ULIP,Bancassurance,1,26-12-2022,-,-,Cancellation,Other Reason,Misrepresentation
322,54,Son,Service,"  400,000 ","  40,000 ",Yearly,"  480,000 ",Married,Non Medical,12,10,Bhopal,Madhya Pradesh,462036,ULIP,Bancassurance,1,16-12-2022,-,-,Cancellation,Other Reason,Misrepresentation
323,48,Spouse,Service,"  400,000 ","  40,000 ",Yearly,"  720,000 ",Married,Medical,12,10,DHANBAD,Jharkhand,828306,ULIP,Bancassurance,1,12-01-2023,-,-,Cancellation,Other Reason,Misrepresentation
324,52,Wife,Service,"  500,000 ","  50,000 ",Yearly,"  600,000 ",Married,Non Medical,12,10,EAST GODAVARI DISTRICT,Andhra Pradesh,533291,ULIP,Bancassurance,1,16-12-2022,-,-,Cancellation,Other Reason,Misrepresentation
325,54,Wife,Service,"  500,000 ","  50,000 ",Yearly,"  720,000 ",Married,Non Medical,12,10,NOWGONG,Assam,782120,ULIP,Bancassurance,1,20-12-2022,-,-,Cancellation,Other Reason,Misrepresentation
326,55,Wife,Service,"  500,000 ","  50,000 ",Yearly,"  600,000 ",Married,Non Medical,12,10,-,-,-,ULIP,Bancassurance,1,21-12-2022,-,-,Cancellation,Other Reason,Misrepresentation
327,52,Spouse,Service,"  300,000 ","  30,000 ",Yearly,"  1,020,000 ",Married,Medical,12,10,DHANBAD,Jharkhand,828113,ULIP,Bancassurance,1,28-12-2022,-,-,Cancellation,Other Reason,Misrepresentation
328,51,Wife,Business,"  400,000 ","  40,000 ",Yearly,"  480,000 ",Married,Non Medical,12,10,SENAPATI,Manipur,795107,ULIP,Bancassurance,1,22-12-2022,-,-,Cancellation,Other Reason,Misrepresentation
329,53,Wife,Service,"  1,000,000 ","  100,000 ",Yearly,"  1,140,000 ",Married,Non Medical,12,10,Jamshedpur,Jharkhand,831004,ULIP,Bancassurance,1,21-12-2022,-,-,Cancellation,Other Reason,Misrepresentation
330,54,Son,Retired,"  300,000 ","  30,000 ",Yearly,"  600,000 ",Married,Medical,12,10,JYOTIBA PHULE NAGAR,Uttar Pradesh,244221,ULIP,Bancassurance,1,26-12-2022,-,-,Cancellation,Other Reason,Misrepresentation
331,54,Son,Service,"  500,000 ","  50,000 ",Yearly,"  650,000 ",Married,Non Medical,12,10,FEROZEPUR,Punjab,152132,ULIP,Bancassurance,1,26-12-2022,-,-,Cancellation,Other Reason,Misrepresentation
332,55,Husband,Service,"  1,000,000 ","  100,000 ",Yearly,"  1,800,000 ",Married,Non Medical,12,10,Dhanbad,Jharkhand,826001,ULIP,Bancassurance,1,06-01-2023,-,-,Cancellation,Other Reason,Misrepresentation
333,55,Son,Service,"  500,000 ","  50,000 ",Yearly,"  960,000 ",Married,Non Medical,12,10,MEDAK,Telangana,502285,ULIP,Bancassurance,1,06-01-2023,-,-,Cancellation,Other Reason,Misrepresentation
334,45,Wife,Service,"  300,000 ","  30,000 ",Yearly,"  480,000 ",Married,Medical,12,10,BAREILLY,Uttar Pradesh,243122,ULIP,Bancassurance,1,11-01-2023,-,-,Cancellation,Other Reason,Misrepresentation
335,53,Wife,Service,"  1,000,000 ","  100,000 ",Yearly,"  900,000 ",Married,Non Medical,12,10,TINSUKIA,Assam,786182,ULIP,Bancassurance,1,03-01-2023,-,-,Cancellation,Other Reason,Misrepresentation
336,47,Wife,Business,"  1,000,000 ","  100,000 ",Yearly,"  600,000 ",Married,Non Medical,12,10,HATHRAS,Uttar Pradesh,281306,ULIP,Bancassurance,1,04-01-2023,-,-,Cancellation,Other Reason,Misrepresentation
337,54,Spouse,Service,"  500,000 ","  50,000 ",Yearly,"  540,000 ",Married,Non Medical,15,10,GURDASPUR,Punjab,145025,ULIP,Bancassurance,1,05-01-2023,-,-,Cancellation,Other Reason,Misrepresentation
338,52,Wife,Service,"  500,000 ","  50,000 ",Yearly,"  840,000 ",Married,Non Medical,12,10,BURDWAN,West Bengal,713378,ULIP,Bancassurance,1,06-01-2023,-,-,Cancellation,Other Reason,Misrepresentation
339,54,Wife,Service,"  500,000 ","  50,000 ",Yearly,"  420,000 ",Married,Non Medical,12,10,CHITTORGARH,Rajasthan,312402,ULIP,Bancassurance,1,10-01-2023,-,-,Cancellation,Other Reason,Misrepresentation
340,54,Wife,Service,"  600,000 ","  60,000 ",Yearly,"  600,000 ",Married,Non Medical,15,10,Nowgong,Assam,782002,ULIP,Retail Agency,,24-01-2023,-,-,Cancellation,Other Reason,Misrepresentation
341,55,Wife,Service,"  400,000 ","  40,000 ",Yearly,"  540,000 ",Married,Non Medical,12,10,TINSUKIA,Assam,786170,ULIP,Bancassurance,1,16-01-2023,-,-,Cancellation,Other Reason,Misrepresentation
342,48,Wife,Service,"  300,000 ","  30,000 ",Yearly,"  10,800,000 ",Married,Non Medical,12,10,Narasinghpur,Madhya Pradesh,487441,ULIP,Bancassurance,1,18-01-2023,-,-,Cancellation,Other Reason,Misrepresentation
343,55,Son,Business,"  1,000,000 ","  100,000 ",Yearly,"  420,000 ",Married,Non Medical,15,10,DARRONG,Assam,784114,ULIP,Retail Agency,,18-01-2023,-,-,Cancellation,Other Reason,Misrepresentation
344,54,Wife,Business,"  1,000,000 ","  100,000 ",Yearly,"  1,200,000 ",Married,Non Medical,12,10,Nowgong,Assam,782439,ULIP,Bancassurance,1,24-01-2023,-,-,Cancellation,Other Reason,Misrepresentation
345,52,Wife,Service,"  500,000 ","  50,000 ",Yearly,"  600,000 ",Married,Non Medical,12,10,Durgapur,West Bengal,713205,ULIP,Bancassurance,1,24-01-2023,-,-,Cancellation,Other Reason,Misrepresentation
346,52,Son,Service,"  500,000 ","  50,000 ",Yearly,"  816,000 ",Married,Medical,12,10,CHITTOOR,Andhra Pradesh,517501,ULIP,Bancassurance,1,06-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
347,54,Wife,Service,"  500,000 ","  50,000 ",Yearly,"  600,000 ",Married,Non Medical,12,10,Narasinghpur,Madhya Pradesh,487881,ULIP,Bancassurance,1,23-01-2023,-,-,Cancellation,Other Reason,Misrepresentation
348,33,Wife,Agriculturist,"  300,000 ","  30,000 ",Yearly,"  540,000 ",Married,Medical,12,10,Karnal,Haryana,132039,ULIP,Institutional Alliance,,30-01-2023,-,-,Cancellation,Other Reason,Misrepresentation
349,49,Son,Service,"  1,000,000 ","  100,000 ",Yearly,"  732,000 ",Married,Non Medical,12,10,Ratlam,Madhya Pradesh,457226,ULIP,Bancassurance,1,27-01-2023,-,-,Cancellation,Other Reason,Misrepresentation
350,52,Spouse,Housewife,"  125,000 ","  100,000 ",Single,"  500,000 ",Married,Non Medical,10,10,Pune,Maharashtra,411009,ULIP,Retail Agency,,07-02-2023,-,-,Cancellation,Other Reason,Misrepresentation
351,54,Son,Service,"  400,000 ","  40,000 ",Yearly,"  480,000 ",Married,Non Medical,12,10,Adilabad,Telangana,504311,ULIP,Bancassurance,1,01-02-2023,-,-,Cancellation,Other Reason,Misrepresentation
352,52,Wife,Service,"  400,000 ","  40,000 ",Yearly,"  600,000 ",Married,Medical,12,10,DHANBAD,Jharkhand,828302,ULIP,Bancassurance,1,06-02-2023,-,-,Cancellation,Other Reason,Misrepresentation
353,52,Wife,Service,"  500,000 ","  50,000 ",Yearly,"  624,000 ",Married,Non Medical,12,10,SAHIBGANJ,Jharkhand,816115,ULIP,Bancassurance,1,02-02-2023,-,-,Cancellation,Other Reason,Misrepresentation
354,48,Wife,Service,"  1,000,000 ","  100,000 ",Yearly,"  540,000 ",Married,Non Medical,12,10,Shivpuri,Madhya Pradesh,473775,ULIP,Bancassurance,1,06-02-2023,-,-,Cancellation,Other Reason,Misrepresentation
355,49,Wife,Service,"  520,000 ","  52,000 ",Yearly,"  800,000 ",Married,Medical,12,10,NIZAMABAD,Telangana,503001,ULIP,Bancassurance,1,27-02-2023,-,-,Cancellation,Other Reason,Misrepresentation
356,54,Wife,Business,"  497,000 ","  49,700 ",Yearly,"  420,000 ",Married,Non Medical,12,10,Banda,Uttar Pradesh,210128,ULIP,Retail Agency,,14-02-2023,-,-,Cancellation,Other Reason,Misrepresentation
357,51,Spouse,Business,"  400,000 ","  40,000 ",Yearly,"  240,000 ",Married,Non Medical,12,10,Garhwa,Jharkhand,822114,ULIP,Retail Agency,,13-02-2023,-,-,Cancellation,Other Reason,Misrepresentation
358,55,Wife,Service,"  300,000 ","  30,000 ",Yearly,"  480,000 ",Married,Non Medical,12,10,Nalbari,Assam,781304,ULIP,Bancassurance,1,15-02-2023,-,-,Cancellation,Other Reason,Misrepresentation
359,55,Son,Service,"  500,000 ","  50,000 ",Yearly,"  720,000 ",Married,Non Medical,15,10,Vaishali,Bihar,844102,ULIP,Retail Agency,,22-02-2023,-,-,Cancellation,Other Reason,Misrepresentation
360,54,Wife,Service,"  500,000 ","  50,000 ",Yearly,"  600,000 ",Married,Non Medical,12,10,Baran,Rajasthan,325216,ULIP,Bancassurance,1,21-02-2023,-,-,Cancellation,Other Reason,Misrepresentation
361,53,Son,Service,"  380,000 ","  38,000 ",Yearly,"  540,000 ",widowed,Non Medical,12,10,Nowgong,Assam,782124,ULIP,Bancassurance,1,24-02-2023,-,-,Cancellation,Other Reason,Misrepresentation
362,47,Wife,Self-Employed,"  500,000 ","  50,000 ",Yearly,"  360,000 ",Married,Non Medical,12,10,Etah,Uttar Pradesh,207243,ULIP,Bancassurance,1,01-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
363,49,Son,Business,"  500,000 ","  50,000 ",Yearly,"  420,000 ",Married,Medical,12,10,BOKARO,Jharkhand,827302,ULIP,Bancassurance,1,20-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
364,55,Wife,Service,"  300,000 ","  30,000 ",Yearly,"  480,000 ",Married,Medical,12,10,NOWGONG,Assam,782141,ULIP,Bancassurance,1,24-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
365,48,Son,Agriculturist,"  490,000 ","  49,000 ",Yearly,"  400,000 ",Married,Non Medical,12,10,MEERUT,Uttar Pradesh,250401,ULIP,Bancassurance,1,17-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
366,47,Wife,Service,"  300,000 ","  30,000 ",Yearly,"  240,000 ",Married,Non Medical,12,10,COIMBATORE,Tamil Nadu,641603,ULIP,Retail Agency,,20-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
367,46,Wife,Self-Employed,"  500,000 ","  50,000 ",Yearly,"  384,000 ",Married,Medical,12,10,KANKER,Chhattisgarh,494334,ULIP,Bancassurance,3,21-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
368,54,Husband,Business,"  499,000 ","  49,900 ",Yearly,"  250,000 ",Married,Non Medical,12,10,GORAKHPUR,Uttar Pradesh,273202,ULIP,Retail Agency,,20-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
369,41,Husband,Housewife,"  999,000 ","  99,900 ",Yearly,"  900,000 ",Married,Non Medical,25,10,WARANGAL,Telangana,506001,ULIP,Retail Agency,,24-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
370,54,Wife,Service,"  500,000 ","  50,000 ",Yearly,"  600,000 ",Married,Non Medical,12,10,ALIGARH,Uttar Pradesh,202280,ULIP,Bancassurance,1,22-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
371,38,Daughter,Business,"  1,000,000 ","  100,000 ",Yearly,"  420,000 ",Married,Non Medical,20,10,CUDDAPAH,Andhra Pradesh,516002,ULIP,Retail Agency,,27-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
372,46,Wife,Business,"  1,000,000 ","  100,000 ",Yearly,"  960,000 ",Married,Non Medical,12,10,SEONI,Madhya Pradesh,480667,ULIP,Retail Agency,,27-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
373,46,Son,Agriculturist,"  300,000 ","  30,000 ",Yearly,"  360,000 ",Married,Non Medical,12,10,JAIPUR,Rajasthan,303005,ULIP,Bancassurance,6,28-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
374,50,Wife,Service,"  600,000 ","  60,000 ",Yearly,"  600,000 ",Married,Non Medical,12,10,NOWGONG,Assam,782124,ULIP,Bancassurance,1,27-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
375,54,Wife,Service,"  1,000,000 ","  100,000 ",Yearly,"  1,200,000 ",Married,Non Medical,12,10,KANPUR,Uttar Pradesh,208002,ULIP,Bancassurance,1,31-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
376,53,Wife,Service,"  750,000 ","  75,000 ",Yearly,"  600,000 ",Married,Non Medical,12,10,KARBI ANGLONG,Assam,782485,ULIP,Bancassurance,1,31-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
377,53,Wife,Agriculturist,"  500,000 ","  50,000 ",Yearly,"  420,000 ",Married,Non Medical,12,10,CHHATARPUR,Madhya Pradesh,471515,ULIP,Retail Agency,,18-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
378,54,Wife,Service,"  700,000 ","  70,000 ",Yearly,"  600,000 ",Married,Non Medical,12,10,NAGAON,Assam,782144,ULIP,Bancassurance,1,31-03-2023,-,-,Cancellation,Other Reason,Misrepresentation
379,55,Wife,Business,"  1,000,000 ","  100,000 ",Yearly,"  1,440,000 ",Married,Non Medical,12,10,Cuddapah,Andhra Pradesh,516162,ULIP,Bancassurance,1,06-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
380,48,Wife,Service,"  400,000 ","  40,000 ",Yearly,"  576,000 ",Married,Non Medical,12,10,RAIPUR,Chhattisgarh,493559,ULIP,Bancassurance,1,11-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
381,50,Husband,Housewife,"  500,000 ","  50,000 ",Yearly,"  360,000 ",Married,Non Medical,15,10,GOPALGANJ,Bihar,841441,ULIP,Retail Agency,,21-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
382,50,Wife,Business,"  1,000,000 ","  100,000 ",Yearly,"  500,000 ",Married,Non Medical,12,10,SEONI,Madhya Pradesh,480661,ULIP,Retail Agency,,10-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
383,48,Wife,Service,"  300,000 ","  30,000 ",Yearly,"  624,000 ",Married,Medical,12,10,BOKARO,Jharkhand,829123,ULIP,Retail Agency,,17-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
384,53,Wife,Business,"  400,000 ","  40,000 ",Yearly,"  420,000 ",Married,Non Medical,15,10,Cuttack,Odisha,754134,ULIP,Retail Agency,,13-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
385,55,Wife,Service,"  500,000 ","  50,000 ",Yearly,"  1,140,000 ",Married,Non Medical,12,10,ADILABAD,Telangana,504208,ULIP,Bancassurance,1,13-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
386,49,Husband,Self-Employed,"  499,000 ","  49,900 ",Yearly,"  360,000 ",Married,Non Medical,20,10,-,-,-,ULIP,Retail Agency,,18-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
387,54,Spouse,Business,"  300,000 ","  30,000 ",Yearly,"  360,000 ",Married,Non Medical,12,10,SITAMARHI,Bihar,843313,ULIP,Retail Agency,,08-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
388,46,Wife,Service,"  1,000,000 ","  100,000 ",Yearly,"  660,000 ",Married,Non Medical,12,10,SONIPAT,Haryana,131039,ULIP,Bancassurance,1,17-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
389,50,Son,Business,"  500,000 ","  50,000 ",Yearly,"  300,000 ",Married,Medical,20,10,Anantapur,Andhra Pradesh,515672,ULIP,Retail Agency,,24-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
390,53,Spouse,Self-Employed,"  1,000,000 ","  100,000 ",Yearly,"  780,000 ",Married,Non Medical,12,10,RAIPUR,Chhattisgarh,492001,ULIP,Bancassurance,1,18-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
391,50,Wife,Service,"  500,000 ","  50,000 ",Yearly,"  600,000 ",Married,Non Medical,12,10,GANJAM,Odisha,761105,ULIP,Bancassurance,1,19-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
392,49,Son,Service,"  500,000 ","  50,000 ",Yearly,"  900,000 ",Married,Non Medical,12,10,KARIM NAGAR,Telangana,505001,ULIP,Bancassurance,1,20-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
393,54,Son,Service,"  500,000 ","  50,000 ",Yearly,"  552,000 ",Married,Non Medical,12,10,SAMASTIPUR,Bihar,848114,ULIP,Bancassurance,1,20-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
394,51,Wife,Service,"  300,000 ","  30,000 ",Yearly,"  780,000 ",Married,Medical,12,10,NOWGONG,Assam,782101,ULIP,Bancassurance,1,08-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
395,50,Wife,Service,"  400,000 ","  40,000 ",Yearly,"  480,000 ",Married,Non Medical,12,10,GHAZIABAD,Uttar Pradesh,201001,ULIP,Bancassurance,1,25-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
396,50,Wife,Service,"  500,000 ","  50,000 ",Yearly,"  596,400 ",Married,Non Medical,12,10,ANANTAPUR,Andhra Pradesh,515671,ULIP,Bancassurance,1,24-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
397,54,Spouse,Self-Employed,"  1,000,000 ","  100,000 ",Yearly,"  600,000 ",Married,Non Medical,12,10,BULANDSHAHR,Uttar Pradesh,203201,ULIP,Bancassurance,1,08-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
398,48,Wife,Service,"  400,000 ","  40,000 ",Yearly,"  540,000 ",Married,Non Medical,12,10,NAWADAH,Bihar,805127,ULIP,Bancassurance,1,27-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
399,53,Wife,Service,"  400,000 ","  40,000 ",Yearly,"  720,000 ",Married,Non Medical,12,10,BURDWAN,West Bengal,713346,ULIP,Bancassurance,1,28-04-2023,-,-,Cancellation,Other Reason,Misrepresentation
400,53,Wife,Service,"  500,000 ","  50,000 ",Yearly,"  480,000 ",Married,Non Medical,12,10,NOWGONG,Assam,782124,ULIP,Bancassurance,1,22-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
401,47,Wife,Service,"  500,000 ","  50,000 ",Yearly,"  600,000 ",Married,Non Medical,12,10,NALGONDA,Telangana,508256,ULIP,Bancassurance,1,08-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
402,50,Spouse,Service,"  500,000 ","  50,000 ",Yearly,"  660,000 ",Married,Non Medical,12,10,LUDHIANA,Punjab,141120,ULIP,Bancassurance,1,15-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
403,53,Son,Business,"  500,000 ","  50,000 ",Yearly,"  360,000 ",Married,Non Medical,15,10,CHITTOOR,Andhra Pradesh,517257,ULIP,Retail Agency,,09-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
404,54,Son,Service,"  500,000 ","  50,000 ",Yearly,"  720,000 ",Married,Non Medical,12,10,KORIYA,Chhattisgarh,497331,ULIP,Bancassurance,3,10-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
405,46,Son,Housewife,"  500,000 ","  50,000 ",Yearly,"  960,000 ",Married,Non Medical,12,10,PALI,Rajasthan,306401,ULIP,Bancassurance,1,11-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
406,53,Wife,Business,"  500,000 ","  50,000 ",Yearly,"  768,000 ",Married,Non Medical,12,10,KRISHNAGIRI,Tamil Nadu,635114,ULIP,Retail Agency,,11-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
407,49,Wife,Service,"  600,000 ","  60,000 ",Yearly,"  480,000 ",Married,Non Medical,12,10,SAGAR,Madhya Pradesh,470232,ULIP,Bancassurance,1,15-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
408,52,Spouse,Service,"  1,000,000 ","  100,000 ",Yearly,"  720,000 ",Married,Non Medical,12,10,HOSHIARPUR,Punjab,144211,ULIP,Bancassurance,1,15-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
409,51,Spouse,Service,"  300,000 ","  30,000 ",Yearly,"  480,000 ",Married,Non Medical,12,10,KHAMMAM,Telangana,507115,ULIP,Bancassurance,1,16-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
410,50,Wife,Service,"  500,000 ","  50,000 ",Yearly,"  800,000 ",Married,Non Medical,15,10,EAST KHASI HILLS,Meghalaya,793002,ULIP,Bancassurance,1,16-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
411,51,Son,Business,"  500,000 ","  50,000 ",Yearly,"  250,000 ",widowed,Non Medical,12,10,MORADABAD,Uttar Pradesh,244302,ULIP,Bancassurance,1,05-06-2023,-,-,Cancellation,Other Reason,Misrepresentation
412,50,Daughter,Service,"  500,000 ","  50,000 ",Yearly,"  576,000 ",Married,Non Medical,12,10,NEW DELHI,Delhi,110034,ULIP,Bancassurance,1,17-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
413,52,Son,Housewife,"  500,000 ","  50,000 ",Yearly,"  648,000 ",Married,Non Medical,12,10,NIZAMABAD,Telangana,503111,ULIP,Bancassurance,1,23-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
414,46,Spouse,Service,"  500,000 ","  50,000 ",Yearly,"  650,000 ",Married,Non Medical,12,10,Dhamtari,Chhattisgarh,493770,ULIP,Bancassurance,1,23-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
415,49,Wife,Self-Employed,"  300,000 ","  30,000 ",Yearly,"  360,000 ",Married,Non Medical,21,10,NASHIK,Maharashtra,422009,ULIP,Retail Agency,,25-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
416,48,Wife,Agriculturist,"  300,000 ","  30,000 ",Yearly,"  504,000 ",Married,Non Medical,12,10,DURG,Chhattisgarh,491332,ULIP,Bancassurance,3,29-05-2023,-,-,Cancellation,Other Reason,Misrepresentation
